Emmanuel Macron, Président actuel, https://www.elysee.fr/images/default/0001/02/cea32b77cc47ad7a0d51c4eb3c8c52e5b87bf9fc.jpeg?w=1520&h=2290&s=48a832fa11846f6d6246e0e974b4ce7310abdc7583501021cb4ac82a8fb579e6, Macron
Francois Hollande, Ancien président de la République française du 15 mai 2012 – 14 mai 2017, https://www.gala.fr/imgre/fit/http.3A.2F.2Fprd2-bone-image.2Es3-website-eu-west-1.2Eamazonaws.2Ecom.2Fprismamedia_people.2F2017.2F06.2F30.2F80fa3a34-4868-4f22-9312-97bfc8d7367c.2Ejpeg/340x340/quality/80/francois-hollande.jpg, Hollande
Nicolas Sarkozy, Ancien président de la République française 16 mai 2007 – 15 mai 2012, https://www.elysee.fr/images/default/0001/02/c1a4affe262217c14e789c993e48798e2f7870f4.jpeg?w=1520&h=2290&s=82138103367db7ea40fca8b41b6233e8a723c394bcd30df13bd3db1bafac1d92, Sarkozy
Jacques Chirac,Ancien président de la République française 17 mai 1995 – 16 mai 2007,https://img.20mn.fr/XRUfkeoYSEWAlCL3_fw1sg/960x614_jacques-chirac-ancien-president-republique-mort-age-86-ans.jpg , Chirac
Fancois Mitterand,Ancien président de la République française 21 mai 1981 – 17 mai 1995, https://www.elysee.fr/images/default/0001/02/90a988df4304c815dda1fa77d2733504c70cf56a.jpeg?w=1520&h=2290&s=6d7637b0dbc82105acd82c058c9aa4564e4d1359409a9b893f551f4b67218888 ,Mitterand
Valéry Giscard D'Estaing, Ancien président de la République française 27 mai 1974 – 21 mai 1981,https://www.touteleurope.eu/wp-content/uploads/2020/12/VGE.jpg ,Giscard
